country,MAX(total_vaccinations),MAX(people_vaccinated),MAX(people_fully_vaccinated)
"United States",70454064,47184199,22613359
"United Kingdom",19913592,19177555,736037
England,16785841,16227104,558737
India,13756940,11552857,2204083
Turkey,8298805,6745147,1553658
Brazil,8101787,6346769,1755018
Israel,7957787,4663028,3294759
Germany,5910537,3881490,2029047
"United Arab Emirates",5668264,3480415,2187849
France,4298573,2808490,1490083
Italy,4074575,2696588,1377987
Spain,3605635,2361852,1243783
Morocco,3424295,3327858,96437
Chile,3345027,3289086,55941
Poland,2759436,1824654,934782
Indonesia,2449451,1583581,865870
Mexico,2271032,1708721,562311
Scotland,1608269,1542929,65340
Romania,1506033,890068,615965
Serbia,1393086,886086,507000
Wales,982396,902334,80062
Argentina,903915,620635,283280
Greece,857306,556380,300926
Hungary,808008,563601,244407
Portugal,797005,538636,258369
Belgium,757229,461060,296169
Switzerland,748791,527979,220812
Sweden,720631,474028,246603
Czechia,644321,406410,237911
Austria,582135,339470,211897
Denmark,556878,375794,181084
"Northern Ireland",537086,505188,31898
Norway,468344,318722,149622
Slovakia,433998,301488,132510
Finland,426806,347082,79724
Ireland,373280,238841,134439
Lithuania,234959,162148,72811
Bulgaria,204439,167258,37181
Croatia,194267,135756,58511
Slovenia,171605,120377,51228
Estonia,96980,68629,28351
Malta,73644,50249,23395
Oman,67660,48641,19019
Seychelles,65060,43461,21599
"South Africa",63648,63648,63648
Latvia,60732,43743,16989
Luxembourg,36071,26089,9982
Gibraltar,34600,21591,13009
Iceland,32157,19593,12564
"Cayman Islands",20468,12710,7758
"Isle of Man",19884,13600,6284
"Faeroe Islands",6713,4190,2523
Albania,3049,2438,611
